"Nama,Simbol,Terakhir,Prb.%,Market Cap,Vol.";Count
"Ace Hardware,ACES,1.605,""2,56%"",""27,43T"",52.649.200";1
"Adaro Energy,ADRO,1.165,#VALUE!,""37,26T"",84.429.300";1
"Aneka Tambang Persero,ANTM,2.23,#VALUE!,""53,59T"",515.109.500";1
"Astra International,ASII,5.525,#VALUE!,""223,67T"",66.908.800";1
"Bank Artos Indonesia,ARTO,10.225,""5,41%"",""133,85T"",5.039.300";1
"Bank Central Asia,BBCA,33.025,#VALUE!,""814,23T"",27.116.400";1
"Bank Cimb Niaga,BNGA,1.105,#VALUE!,""27,55T"",20.667.900";1
"Bank Danamon,BDMN,3.16,""0,96%"",""30,88T"",1.510.000";1
"Bank Mandiri Persero,BMRI,6.425,""0,00%"",""299,61T"",55.919.400";1
"Bank Mayapada,MAYA,5.4,#VALUE!,""36,90T"",268.2";1
"Bank Maybank Indonesia,BNII,406,#VALUE!,""30,94T"",55.740.300";1
"Bank Mega,MEGA,9.8,#VALUE!,""68,24T"",34.7";1
"Bank Negar,BBNI,5.975,#VALUE!,""110,16T"",21.660.000";1
"Bank Pan Indonesia,PNBN,1.14,""4,11%"",""27,45T"",8.344.700";1
"Bank Permata,BNLI,2.3,""0,88%"",""64,50T"",569.8";1
"Bank Rakyat Persero,BBRI,4.58,#VALUE!,""561,49T"",150.476.600";1
"Bank Tabungan Pensiunan,BTPS,3.67,#VALUE!,""28,27T"",4.774.700";1
"Barito Pacific,BRPT,1,#VALUE!,""92,85T"",39.807.300";1
"Bayan Resources,BYAN,13,""6,12%"",""43,33T"",9.4";1
"Bukit Asam,PTBA,2.61,#VALUE!,""29,19T"",28.531.500";1
"Chandra Asri Petro,TPIA,9.525,#VALUE!,""169,86T"",2.668.600";1
"Charoen Pokphand Indonesia,CPIN,6.6,""4,76%"",""108,23T"",29.855.200";1
"Elang Mahkota,EMTK,2.15,""0,00%"",""121,31T"",8.662.300";1
"Gudang Garam,GGRM,36.25,#VALUE!,""69,75T"",1.235.100";1
"Hm Sampoerna,HMSP,1.405,#VALUE!,""163,43T"",63.333.900";1
"Indah Kiat Pulp & Paper,INKP,12.525,""1,21%"",""68,52T"",5.451.200";1
"Indocement Tunggal,INTP,13.275,""0,19%"",""48,87T"",3.689.400";1
"Indofood Cbp,ICBP,8.325,#VALUE!,""97,09T"",8.629.600";1
"Indofood,INDF,6.2,""0,40%"",""54,44T"",11.669.300";1
"Indoritel Makmur,DNET,3.26,#VALUE!,""46,24T"",2.3";1
"Indosat,ISAT,5.6,#VALUE!,""30,43T"",7.766.000";1
"Jasa Marga,JSMR,4.32,""0,47%"",""31,35T"",18.053.900";1
"Kalbe Farma,KLBF,1.545,#VALUE!,""72,42T"",38.671.000";1
"Mayora Indah,MYOR,2.72,#VALUE!,""60,82T"",13.824.800";1
"Merdeka Copper Gold TBK PT,MDKA,2.46,#VALUE!,""53,87T"",48.188.400";1
"Mitra Keluarga Karyasehat,MIKA,2.72,#VALUE!,""38,74T"",30.817.800";1
"Pabrik Kertas Tjiwi,TKIM,13.025,#VALUE!,""40,55T"",6.644.800";1
"Pakuwon Jati,PWON,565,""0,89%"",""27,21T"",30.947.300";1
"Perusahaan Gas Negara,PGAS,1.375,#VALUE!,""33,33T"",72.341.100";1
"Pollux Properti,POLL,4.96,#VALUE!,""41,26T"",2.146.200";1
"Sarana Menara Nusantara,TOWR,1.165,#VALUE!,""58,37T"",65.249.900";1
"Semen Indonesia Persero,SMGR,11,""0,69%"",""65,25T"",6.031.600";1
"Sinar Mas Multiartha,SMMA,13.4,""5,72%"",""85,33T"",3.7";1
"Sumber Alfaria Trijaya,AMRT,920,#VALUE!,""38,20T"",1.178.900";1
"Telkom Indonesia,TLKM,3.29,#VALUE!,""325,91T"",110.090.800";1
"Tower Bersama,TBIG,2.03,#VALUE!,""43,91T"",38.377.200";1
"Transcoal Pacific,TCPI,8.8,#VALUE!,""44,00T"",12.586.000";1
"Unilever Indonesia,UNVR,6.55,#VALUE!,""249,88T"",18.687.300";1
"United Tractors,UNTR,22.525,#VALUE!,""84,02T"",5.141.800";1
"Vale Indonesia,INCO,4.55,#VALUE!,""45,21T"",113.826.500";1
